challenge,correct,pubpeer,journal,oa,year
1.png,1.png,https://pubpeer.com/publications/F595C499D1CD2A3B6BACA3F383809B,PLoS One,Y,2014
2.png,2.jpeg,https://pubpeer.com/publications/F595C499D1CD2A3B6BACA3F383809B,PLoS One,Y,2014
3.png,3.jpg,https://pubpeer.com/publications/3CE1970278B433DA89E51DC3EF4B48,Autommunity Reviews,Y,2014
4.png,4.png,https://pubpeer.com/publications/956DEC0752825B70ECE4A383564B2A,Orphanet Journal of Rare Diseases,Y,2012
5.png,5.jpg,https://pubpeer.com/publications/30097403FD81752487FA002216C4D0,Journal of Immunology,Y,2015
6.png,6.png,https://pubpeer.com/publications/0EE32C174D40A85A655E063D02F67C,PLoS ONE,Y,2014
7.jpg,7.jpg,https://pubpeer.com/publications/10B87A862B678879504371094A6A90,PLoS ONE,Y,2014
8.png,8.jpg,https://pubpeer.com/publications/23393E028ACCDB2AE0DDDED8FC1C17,PLoS ONE,Y,2013
9.png,9.jpg,https://pubpeer.com/publications/AC6DE458CFEC09607C643B865B55F5,Oncotarget,Y,2015
10.png,10.jpg,https://pubpeer.com/publications/01A2B05F2F19B1607F41AC2B3976CF,Cellular Physiology and Biochemistry,Y,2018
11.png,11.jpg,https://pubpeer.com/publications/1A9792EDB75AA8D9DA495BE33C2C08,Molecular Plant Pathology,Y,2013
11.png,12.png,https://pubpeer.com/publications/615D233B0B6A4799F7F38179B68E76,Carcinogenesis,Y,2010
